*****Sonar Placement GA Expirement*****
Start Time: 2018-01-03 09:07:22.221348
Rand_seed:7
End Time: 2018-01-04 04:38:03.534168
Running Time: 19:30:37.906538
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: transient
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
2, 32, 10.106529415, 10, 0.207, -0.078, 12, 0.209, -0.121, -64, 0.228, -0.088, 27, 0.234, -0.014, 11, 0.09, 0.115, -49, 0.207, 0.078, -12, 0.209, 0.121, 64, 0.228, 0.088, -27, 0.234, 0.014, -11, 0.09, -0.115, 49, 
2, 0, 11.889534254, 4, 0.13, 0.104, 63, 0.203, 0.002, 28, 0.13, -0.103, -63, 0.203, -0.002, -28,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 0, 11.889534254, 4, 0.13, 0.104, 63, 0.203, 0.002, 28, 0.13, -0.103, -63, 0.203, -0.002, -28,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 2, 9.68078298195, 10, 0.207, -0.078, 12, 0.209, -0.121, -64, 0.228, -0.088, 27, 0.234, -0.014, 11, 0.09, -0.135, -80, 0.207, 0.078, -12, 0.209, 0.121, 64, 0.228, 0.088, -27, 0.234, 0.014, -11, 0.09, 0.135, 80, 
3, 52, 11.7590923769, 6, 0.241, -0.109, -74, 0.24, -0.112, -48, 0.056, 0.117, 50, 0.241, 0.109, 74, 0.24, 0.113, 48, 0.056, -0.116, -50,  , , ,  , , ,  , , ,  , , , 
3, 0, 11.889534254, 4, 0.13, 0.104, 63, 0.203, 0.002, 28, 0.13, -0.103, -63, 0.203, -0.002, -28,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
3, 26, 10.3875033029, 10, 0.208, 0.084, -4, 0.205, 0.103, 31, 0.014, -0.103, -72, 0.204, -0.107, -6, 0.223, -0.133, -55, 0.208, -0.084, 4, 0.205, -0.102, -31, 0.014, 0.103, 72, 0.204, 0.107, 6, 0.223, 0.133, 55, 
3, 32, 10.106529415, 10, 0.207, -0.078, 12, 0.209, -0.121, -64, 0.228, -0.088, 27, 0.234, -0.014, 11, 0.09, 0.115, -49, 0.207, 0.078, -12, 0.209, 0.121, 64, 0.228, 0.088, -27, 0.234, 0.014, -11, 0.09, -0.115, 49, 
3, 26, 10.3875033029, 10, 0.208, 0.084, -4, 0.205, 0.103, 31, 0.014, -0.103, -72, 0.204, -0.107, -6, 0.223, -0.133, -55, 0.208, -0.084, 4, 0.205, -0.102, -31, 0.014, 0.103, 72, 0.204, 0.107, 6, 0.223, 0.133, 55, 
3, 26, 10.3875033029, 10, 0.208, 0.084, -4, 0.205, 0.103, 31, 0.014, -0.103, -72, 0.204, -0.107, -6, 0.223, -0.133, -55, 0.208, -0.084, 4, 0.205, -0.102, -31, 0.014, 0.103, 72, 0.204, 0.107, 6, 0.223, 0.133, 55, 
