*****Sonar Placement GA Expirement*****
Start Time: 2018-01-02 09:25:38.589383
Rand_seed:16
End Time: 2018-01-03 01:07:37.812009
Running Time: 15:41:57.325240
Population size:30
Generation Count:25
Mutation Probability:0.15
Cross Over Probability:0.25
***** Constraints *****
Max Number of Sensors: 10
X Position: [0, 100]
Y Position: [0, 100]
Z Orient: [-90, 90]
***** Enviroment Factors *****
Sensor Knockout: True
Sensor Knockout Type: complete
Max Sim Time: 270
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, S2_P_X, S2_P_Y, S2_O, S3_P_X, S3_P_Y, S3_O, S4_P_X, S4_P_Y, S4_O, S5_P_X, S5_P_Y, S5_O, S6_P_X, S6_P_Y, S6_O, S7_P_X, S7_P_Y, S7_O, S8_P_X, S8_P_Y, S8_O, S9_P_X, S9_P_Y, S9_O, S10_P_X, S10_P_Y, S10_O, Raw Fitness
2, 10, 11.1053506921, 10, 0.225, 0.006, 2, 0.1, -0.126, -44, 0.234, 0.137, 69, 0.162, -0.113, -42, 0.209, 0.042, 6, 0.225, -0.006, -2, 0.1, 0.126, 44, 0.234, -0.136, -69, 0.162, 0.114, 42, 0.209, -0.042, -6, 
2, 1, 15.8910930146, 4, 0.207, 0.05, 12, 0.248, 0.113, 10, 0.207, -0.05, -12, 0.248, -0.112, -10,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 24, 11.0654041316, 8, 0.211, -0.064, 7, 0.248, -0.143, -65, 0.247, 0.138, 37, 0.052, 0.147, 44, 0.211, 0.064, -7, 0.248, 0.143, 65, 0.247, -0.138, -37, 0.052, -0.147, -44,  , , ,  , , , 
2, 17, 11.8542404062, 6, 0.223, -0.103, -14, 0.208, -0.105, -19, 0.124, -0.101, -61, 0.223, 0.103, 14, 0.208, 0.106, 19, 0.124, 0.101, 61,  , , ,  , , ,  , , ,  , , , 
2, 34, 9.35124912995, 4, 0.209, 0.034, -20, 0.22, 0.024, 27, 0.209, -0.034, 20, 0.22, -0.024, -27,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 22, 8.86804983656, 2, 0.214, 0.105, 50, 0.214, -0.105, -50,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 23, 8.74230515988, 4, 0.012, 0.113, 69, 0.084, 0.124, 43, 0.012, -0.112, -69, 0.084, -0.124, -43,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 1, 15.8910930146, 4, 0.207, 0.05, 12, 0.248, 0.113, 10, 0.207, -0.05, -12, 0.248, -0.112, -10,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 17, 11.8542404062, 6, 0.223, -0.103, -14, 0.208, -0.105, -19, 0.124, -0.101, -61, 0.223, 0.103, 14, 0.208, 0.106, 19, 0.124, 0.101, 61,  , , ,  , , ,  , , ,  , , , 
2, 1, 15.8910930146, 4, 0.207, 0.05, 12, 0.248, 0.113, 10, 0.207, -0.05, -12, 0.248, -0.112, -10,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
2, 23, 8.74230515988, 4, 0.012, 0.113, 69, 0.084, 0.124, 43, 0.012, -0.112, -69, 0.084, -0.124, -43,  , , ,  , , ,  , , ,  , , ,  , , ,  , , , 
