*****Sonar Placement GA Expirement*****
Start Time: 2017-10-17 21:43:03.559460
Rand_seed:8
End Time: 2017-10-19 00:48:15.129278
Running Time: 1 day, 3:04:25.003587
Population size:40
Generation Count:60
Mutation Probability:0.2
Cross Over Probability:0.35
***** Constraints *****
Max Number of Sensors: 1
X Position: [0, 0.25]
Y Position: [-0.15, 0.15]
Z Orient: [-90, 90]
*****************************
Generation, ID, Fitness, Number of Sonar, S1_P_X, S1_P_Y, S1_O, 
4, 180, 14.9376680525, 1, 0.22, -0.064, -26.0, 
4, 181, 14.3639095342, 1, 0.102, 0.121, -22.0, 
4, 182, 13.2152837103, 1, 0.085, -0.099, -12.0, 
4, 183, 14.9376680525, 1, 0.22, -0.064, -26.0, 
4, 184, 14.3639095342, 1, 0.102, 0.121, -22.0, 
4, 185, 13.2152837103, 1, 0.085, -0.099, -12.0, 
4, 186, 14.3639095342, 1, 0.102, 0.121, -22.0, 
4, 187, 14.3639095342, 1, 0.102, 0.121, -22.0, 
4, 188, 12.6270758085, 1, 0.072, 0.121, -22.0, 
4, 189, 13.2152837103, 1, 0.085, -0.099, -12.0, 
4, 190, 13.151924115, 1, 0.25, -0.087, 26.0, 
4, 191, 13.151924115, 1, 0.25, -0.087, 26.0, 
4, 192, 12.3823400008, 1, 0.016, 0.036, -22.0, 
4, 193, 12.2083973465, 1, 0.085, -0.001, -12.0, 
4, 194, 12.3823400008, 1, 0.016, 0.036, -22.0, 
4, 195, 11.6686082282, 1, 0.176, -0.124, -46.0, 
5, 158, 14.361199886, 1, 0.102, -0.05, -22.0, 
5, 196, 14.9376680525, 1, 0.22, -0.064, -26.0, 
5, 197, 13.2152837103, 1, 0.085, -0.099, -12.0, 
5, 198, 14.9376680525, 1, 0.22, -0.064, -26.0, 
5, 199, 14.9376680525, 1, 0.22, -0.064, -26.0, 
5, 200, 14.9376680525, 1, 0.22, -0.064, -26.0, 
5, 201, 12.309572925, 1, 0.221, 0.121, -22.0, 
5, 202, 12.1473048916, 1, 0.145, 0.121, -22.0, 
5, 203, 14.9376680525, 1, 0.22, -0.064, -26.0, 
5, 204, 14.361199886, 1, 0.102, -0.05, -22.0, 
5, 205, 14.3639095342, 1, 0.102, 0.121, -22.0, 
5, 206, 14.3639095342, 1, 0.102, 0.121, -22.0, 
5, 207, 13.2152837103, 1, 0.085, -0.099, -12.0, 
5, 208, 13.151924115, 1, 0.25, -0.087, 26.0, 
5, 209, 13.2152837103, 1, 0.085, -0.099, -12.0, 
5, 210, 14.3639095342, 1, 0.102, 0.121, -22.0, 
5, 211, 10.4940825407, 1, 0.25, -0.135, 26.0, 
5, 212, 14.9376680525, 1, 0.22, -0.064, -26.0, 
5, 213, 14.3639095342, 1, 0.102, 0.121, -22.0, 
5, 214, 14.9376680525, 1, 0.22, -0.064, -26.0, 
5, 215, 14.3639095342, 1, 0.102, 0.121, -22.0, 
5, 216, 14.0734433319, 1, 0.045, -0.099, -12.0, 
5, 217, 13.151924115, 1, 0.25, -0.087, 26.0, 
5, 218, 14.3639095342, 1, 0.102, 0.121, -22.0, 
5, 219, 14.9376680525, 1, 0.22, -0.064, -26.0, 
5, 220, 14.3639095342, 1, 0.102, 0.121, -22.0, 
5, 221, 14.3639095342, 1, 0.102, 0.121, -22.0, 
5, 222, 14.9376680525, 1, 0.22, -0.064, -26.0, 
5, 223, 14.0734433319, 1, 0.045, -0.099, -12.0, 
5, 224, 14.9376680525, 1, 0.22, -0.064, -26.0, 
5, 225, 14.9376680525, 1, 0.22, -0.064, -26.0, 
5, 226, 14.3639095342, 1, 0.102, 0.121, -22.0, 
5, 227, 14.8490904518, 1, 0.22, -0.053, -26.0, 
5, 228, 14.9376680525, 1, 0.22, -0.064, -26.0, 
5, 229, 14.3639095342, 1, 0.102, 0.121, -22.0, 
5, 230, 14.3639095342, 1, 0.102, 0.121, -22.0, 
5, 231, 13.2152837103, 1, 0.085, -0.099, -12.0, 
5, 232, 14.9376680525, 1, 0.22, -0.064, -26.0, 
5, 233, 14.3639095342, 1, 0.102, 0.121, -22.0, 
5, 234, 13.6603130959, 1, 0.067, -0.023, -22.0, 
6, 227, 14.5956086756, 1, 0.22, 0.029, -26.0, 
6, 235, 13.6282919896, 1, 0.22, 0.109, -26.0, 
6, 236, 14.3639095342, 1, 0.102, 0.121, -22.0, 
6, 237, 12.1370567477, 1, 0.065, 0.121, -22.0, 
6, 238, 10.4151405511, 1, 0.102, 0.121, -76.0, 
6, 239, 14.3639095342, 1, 0.102, 0.121, -22.0, 
6, 240, 14.3639095342, 1, 0.102, 0.121, -22.0, 
6, 241, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 242, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 243, 13.0785850712, 1, 0.078, -0.099, -22.0, 
6, 244, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 245, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 246, 14.3639095342, 1, 0.102, 0.121, -22.0, 
6, 247, 14.3639095342, 1, 0.102, 0.121, -22.0, 
6, 248, 14.3639095342, 1, 0.102, 0.121, -22.0, 
6, 249, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 250, 10.5409486546, 1, 0.22, -0.064, -34.0, 
6, 251, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 252, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 253, 14.3639095342, 1, 0.102, 0.121, -22.0, 
6, 254, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 255, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 256, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 257, 12.4415895604, 1, 0.22, -0.036, -26.0, 
6, 258, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 259, 14.3639095342, 1, 0.102, 0.121, -22.0, 
6, 260, 9.40280609643, 1, 0.102, 0.121, -12.0, 
6, 261, 12.309572925, 1, 0.221, 0.121, -22.0, 
6, 262, 14.6572479966, 1, 0.134, -0.064, -26.0, 
6, 263, 13.6603130959, 1, 0.067, -0.023, -22.0, 
6, 264, 14.3639095342, 1, 0.102, 0.121, -22.0, 
6, 265, 14.1095891599, 1, 0.152, 0.121, -22.0, 
6, 266, 13.2152837103, 1, 0.085, -0.099, -12.0, 
6, 267, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 268, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 269, 12.3564544453, 1, 0.22, -0.055, -26.0, 
6, 270, 14.9376680525, 1, 0.22, -0.064, -26.0, 
6, 271, 14.8490904518, 1, 0.22, -0.053, -26.0, 
6, 272, 14.361199886, 1, 0.102, -0.05, -22.0, 
6, 273, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 262, 14.6572479966, 1, 0.134, -0.064, -26.0, 
7, 274, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 275, 12.7333555262, 1, 0.22, -0.104, -26.0, 
7, 276, 12.3178780951, 1, 0.22, -0.023, -22.0, 
7, 277, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 278, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 279, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 280, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 281, 12.3707332689, 1, 0.22, 0.006, -26.0, 
7, 282, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 283, 14.3639095342, 1, 0.102, 0.121, -22.0, 
7, 284, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 285, 13.6282919896, 1, 0.22, 0.109, -26.0, 
7, 286, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 287, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 288, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 289, 12.5989356928, 1, 0.22, 0.147, -26.0, 
7, 290, 14.3639095342, 1, 0.102, 0.121, -22.0, 
7, 291, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 292, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 293, 13.6282919896, 1, 0.22, 0.109, -26.0, 
7, 294, 13.4232949847, 1, 0.22, 0.029, 35.0, 
7, 295, 14.3639095342, 1, 0.102, 0.121, -22.0, 
7, 296, 14.6768904133, 1, 0.08, 0.121, -22.0, 
7, 297, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 298, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 299, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 300, 7.96007880429, 1, 0.22, 0.029, -63.0, 
7, 301, 14.4189735956, 1, 0.095, -0.064, -26.0, 
7, 302, 13.8355932496, 1, 0.102, 0.121, -27.0, 
7, 303, 13.6392106746, 1, 0.067, 0.097, -26.0, 
7, 304, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 305, 12.4514779357, 1, 0.22, -0.002, -26.0, 
7, 306, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 307, 14.3639095342, 1, 0.102, 0.121, -22.0, 
7, 308, 10.9195222166, 1, 0.22, -0.064, 49.0, 
7, 309, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 310, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 311, 14.9376680525, 1, 0.22, -0.064, -26.0, 
7, 312, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 296, 14.6768904133, 1, 0.08, 0.121, -22.0, 
8, 313, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 314, 14.6768904133, 1, 0.08, 0.121, -22.0, 
8, 315, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 316, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 317, 12.1365752986, 1, 0.102, -0.118, -22.0, 
8, 318, 14.4189735956, 1, 0.095, -0.064, -26.0, 
8, 319, 12.3707332689, 1, 0.22, 0.006, -26.0, 
8, 320, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 321, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 322, 14.6572479966, 1, 0.134, -0.064, -26.0, 
8, 323, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 324, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 325, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 326, 14.9376680525, 1, 0.22, -0.064, -26.0, 
8, 327, 12.5460862076, 1, 0.22, 0.105, -26.0, 
