*****Rover GA expirement*****
Date:2017-08-23 22:09:34.020693
Population size:30
Generation Count:30
Mutation Probability:0.2
Cross Over Probability:0.35
*****************************
Generation, ID, Max Turn Strength, Max Yaw Change per CB, Num Vision Cones, Sweep Weight Factor, Distance Weight Factor, Wall Distance, Fitness
0, 25, 273, 64, 5, 1.94770663542, 2.6843033921, 8.57331030919, 6.49913283084
0, 26, 378, 86, 15, 1.53727091757, 4.77080609063, 7.65413163898, 1.0
0, 27, 319, 99, 25, 0.840033340744, 0.461215423094, 2.78780775235, 6.60143296918
0, 28, 240, 46, 95, 0.356645161432, 3.35352888332, 2.83714411351, 2.25
0, 29, 98, 55, 3, 4.33141660468, 2.15131040101, 0.060944970095, 1.0
1, 9, 300, 82, 37, 2.45227353436, 0.170478162598, 0.0903217225723, 6.57659346886
1, 30, 99, 66, 17, 2.03641075141, 1.1080082923, 6.86088672795, 1.0
1, 31, 378, 86, 15, 2.96308196759, 3.83378758261, 4.62617392415, 1.0
1, 32, 342, 84, 27, 4.916790972, 0.585206273793, 5.1142552185, 1.0
1, 33, 78, 93, 11, 2.41529347171, 3.16961302562, 7.83084576923, 1.0
1, 34, 136, 85, 23, 0.146754664945, 2.65175258386, 7.88880128629, 1.0
1, 35, 370, 56, 89, 1.39218813038, 3.78856823129, 6.00904860451, 1.0
1, 36, 202, 57, 17, 4.37663931772, 1.10510574182, 5.93382256362, 6.47718088379
1, 37, 368, 97, 79, 4.5567178363, 2.64707395379, 2.83714411351, 6.45695828223
1, 38, 245, 43, 1, 4.5567178363, 2.64707395379, 4.31451249376, 1.0
1, 39, 245, 43, 1, 4.93505915207, 3.85574796829, 7.83084576923, 1.0
1, 40, 370, 56, 89, 4.37663931772, 1.10510574182, 5.93382256362, 1.0
1, 41, 78, 93, 11, 2.41529347171, 3.16961302562, 1.54167252562, 1.0
1, 42, 136, 85, 77, 1.7142927951, 1.34209679898, 9.6142499757, 1.0
1, 43, 245, 44, 73, 2.98579611304, 2.94263573841, 0.621684230171, 1.77768889
1, 44, 94, 91, 7, 2.96308196759, 3.83378758261, 4.62617392415, 1.0
1, 45, 245, 43, 1, 4.5567178363, 2.64707395379, 4.31451249376, 1.0
1, 46, 202, 57, 17, 1.39218813038, 3.78856823129, 6.00904860451, 6.54319433865
1, 47, 378, 86, 15, 1.53727091757, 4.77080609063, 7.65413163898, 1.0
1, 48, 398, 84, 17, 2.03641075141, 1.1080082923, 6.86088672795, 1.0
1, 49, 256, 28, 23, 0.146754664945, 2.65175258386, 4.31451249376, 6.39614275271
1, 50, 273, 64, 5, 1.94770663542, 2.6843033921, 8.57331030919, 6.45362854004
1, 51, 368, 97, 79, 4.93505915207, 3.85574796829, 0.621684230171, 6.45842800391
1, 52, 94, 91, 7, 1.53727091757, 4.77080609063, 6.38477082136, 1.0
1, 53, 363, 19, 67, 2.93051999025, 2.54736306791, 8.15547889079, 1.0
1, 54, 378, 86, 15, 1.53727091757, 4.77080609063, 7.65413163898, 1.0
1, 55, 136, 85, 23, 0.146754664945, 2.65175258386, 7.88880128629, 1.0
1, 56, 240, 46, 95, 0.356645161432, 3.35352888332, 7.88880128629, 2.25
1, 57, 94, 91, 7, 2.96308196759, 3.83378758261, 4.62617392415, 1.0
1, 58, 126, 43, 1, 4.5567178363, 2.64707395379, 4.31451249376, 1.0
2, 9, 300, 82, 37, 2.45227353436, 0.170478162598, 0.0903217225723, 6.5780985421
2, 59, 378, 86, 15, 1.53727091757, 2.64707395379, 4.31451249376, 1.0
